individual	pedigree	fullSampleName	family
P207	BG95xGH1	P207:250353690	GRYG
P208	BG95xGH1	P208:250353691	GRYG
P209	BG95xGH1	P209:250353692	GRYG
P210	BG95xGH1	P210:250353693	GRYG
P211	BG95xGH1	P211:250353695	GRYG
P212	BG95xGH1	P212:250353696	GRYG
P213	BG95xGH1	P213:250353697	GRYG
P214	BG95xGH1	P214:250353698	GRYG
P215	BG95xGH1	P215:250353699	GRYG
P216	BG95xGH1	P216:250353700	GRYG
P217	BG95xGH1	P217:250353732	GRYG
P218	BG95xGH1	P218:250353733	GRYG
P219	BG95xGH1	P219:250353734	GRYG
P22	BG95xGH1	P22:250353368	GRYG
P220	BG95xGH1	P220:250353694	GRYG
P221	BG95xGH1	P221:250353735	GRYG
P223	BG95xGH1	P223:250353736	GRYG
P224	BG95xGH1	P224:250353737	GRYG
P225	BG95xGH1	P225:250353738	GRYG
P226	BG95xGH1	P226:250353739	GRYG
P228	BG95xGH1	P228:250353741	GRYG
P229	BG95xGH1	P229:250353742	GRYG
P23	BG95xGH1	P23:250353369	GRYG
P230	BG95xGH1	P230:250353743	GRYG
P232	BG95xGH1	P232:250353744	GRYG
P233	BG95xGH1	P233:250353745	GRYG
P234	BG95xGH1	P234:250353746	GRYG
P235	BG95xGH1	P235:250353747	GRYG
P237	BG95xGH1	P237:250353749	GRYG
P238	BG95xGH1	P238:250353750	GRYG
P239	BG95xGH1	P239:250353751	GRYG
P24	BG95xGH1	P24:250353372	GRYG
P240	BG95xGH1	P240:250353752	GRYG
P241	BG95xGH1	P241:250353753	GRYG
P242	BG95xGH1	P242:250353754	GRYG
P243	BG95xGH1	P243:250353755	GRYG
P244	BG95xGH1	P244:250353756	GRYG
P245	BG95xGH1	P245:250353757	GRYG
P246	BG95xGH1	P246:250353758	GRYG
P247	BG95xGH1	P247:250353759	GRYG
P248	BG95xGH1	P248:250353760	GRYG
P249	BG95xGH1	P249:250353761	GRYG
P25	BG95xGH1	P25:250353373	GRYG
P250	BG95xGH1	P250:250353762	GRYG
P251	BG95xGH1	P251:250353763	GRYG
P252	BG95xGH1	P252:250353764	GRYG
P253	BG95xGH1	P253:250353765	GRYG
P254	BG95xGH1	P254:250353766	GRYG
P255	BG95xGH1	P255:250353775	GRYG
P256	BG95xGH1	P256:250353767	GRYG
P257	BG95xGH1	P257:250353768	GRYG
P258	BG95xGH1	P258:250353769	GRYG
P259	BG95xGH1	P259:250353770	GRYG
P26	BG95xGH1	P26:250353374	GRYG
P260	BG95xGH1	P260:250353771	GRYG
P262	BG95xGH1	P262:250353772	GRYG
P263	BG95xGH1	P263:250353773	GRYG
P264	BG95xGH1	P264:250353774	GRYG
P265	BG95xGH1	P265:250353776	GRYG
P266	BG95xGH1	P266:250353777	GRYG
P267	BG95xGH1	P267:250353778	GRYG
P268	BG95xGH1	P268:250353779	GRYG
P27	BG95xGH1	P27:250353375	GRYG
P270	BG95xGH1	P270:250353780	GRYG
P271	BG95xGH1	P271:250353781	GRYG
P273	BG95xGH1	P273:250353782	GRYG
P275	BG95xGH1	P275:250353783	GRYG
P276	BG95xGH1	P276:250353784	GRYG
P277	BG95xGH1	P277:250353785	GRYG
P278	BG95xGH1	P278:250353786	GRYG
P279	BG95xGH1	P279:250353787	GRYG
P28	BG95xGH1	P28:250353376	GRYG
P280	BG95xGH1	P280:250353788	GRYG
P281	BG95xGH1	P281:250353789	GRYG
P282	BG95xGH1	P282:250353790	GRYG
P283	BG95xGH1	P283:250353791	GRYG
P284	BG95xGH1	P284:250353792	GRYG
P285	BG95xGH1	P285:250353793	GRYG
P286	BG95xGH1	P286:250353794	GRYG
P287	BG95xGH1	P287:250353795	GRYG
P289	BG95xGH1	P289:250353796	GRYG
P291	BG95xGH1	P291:250353797	GRYG
P293	BG95xGH1	P293:250353798	GRYG
P294	BG95xGH1	P294:250353799	GRYG
P295	BG95xGH1	P295:250353800	GRYG
